IRGC_ID,COUNTRY,LAT,LON,bdodmean,cecmean,cfvomean,claymean,nitrogenmean,phh2omean,sandmean,siltmean,socmean,ocdmean,T_ESP,T_ECE,S_ESP,S_ECE,pawc,moist
IRIS_313-11647,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11648,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11677,Thailand,15.22917,105.855,1.31,19.1,9.3,27.3,0.52,5.9,39.6,33.2,12,7.6,2,0.1,1,0.1,229.7149963,110
IRIS_313-11678,Thailand,15.97167,102.62194,1.59,17,16.4,36.1,0.4,6,35.1,28.8,5.7,6.9,3,0.1,4,0.1,235.0130005,110
IRIS_313-11679,Thailand,16.44389,100.34778,1.45,18.1,9.6,40.6,0.42,6.4,23.9,35.5,7.8,7.2,2,0.1,3,0.1,238.602005,200
IRIS_313-11682,Thailand,15.97167,102.62194,1.59,17,16.4,36.1,0.4,6,35.1,28.8,5.7,6.9,3,0.1,4,0.1,235.0130005,110
IRIS_313-11685,Thailand,15.22917,105.855,1.31,19.1,9.3,27.3,0.52,5.9,39.6,33.2,12,7.6,2,0.1,1,0.1,229.7149963,110
IRIS_313-11686,Thailand,13.03944,101.49194,1.44,14.8,12.1,33.7,0.42,6,31.5,34.8,4.9,8.6,3,0.1,2,0.1,244.2519989,98
IRIS_313-11687,Thailand,16.01389,101.88889,1.47,18.8,15,34.1,0.44,6,33.3,32.5,4.7,7,3,0.1,2,0.1,244.2519989,98
IRIS_313-11692,Taiwan,23.6,120.65389,1.31,12.8,14,37.2,1.06,5.1,23.9,38.9,8.6,10.9,2,0.1,2,0.1,261.5109863,70
IRIS_313-11693,Taiwan,23.6,120.65389,1.31,12.8,14,37.2,1.06,5.1,23.9,38.9,8.6,10.9,2,0.1,2,0.1,261.5109863,70
IRIS_313-11694,Taiwan,23.6,120.65389,1.31,12.8,14,37.2,1.06,5.1,23.9,38.9,8.6,10.9,2,0.1,2,0.1,261.5109863,70
IRIS_313-11704,Thailand,14.34917,100.55917,1.37,21.7,8.6,50.4,0.66,6.4,13.6,36.1,18,8.9,17,0.1,15,0.1,216.8200073,200
IRIS_313-11709,Thailand,13.20167,101.25194,1.47,11.3,5.7,36,0.42,6,36.4,27.6,7.4,7.2,3,0.1,2,0.1,244.2519989,98
IRIS_313-11712,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11719,Thailand,13.03944,101.49194,1.44,14.8,12.1,33.7,0.42,6,31.5,34.8,4.9,8.6,3,0.1,2,0.1,244.2519989,98
IRIS_313-11720,Thailand,13.03944,101.49194,1.44,14.8,12.1,33.7,0.42,6,31.5,34.8,4.9,8.6,3,0.1,2,0.1,244.2519989,98
IRIS_313-11721,Thailand,13.03944,101.49194,1.44,14.8,12.1,33.7,0.42,6,31.5,34.8,4.9,8.6,3,0.1,2,0.1,244.2519989,98
IRIS_313-11722,Bangladesh,24.88333,92.38333,1.38,15.2,11.5,30.4,0.91,5.2,44.8,24.8,13.8,6.7,1,0.1,1,0.1,246.0630035,62
IRIS_313-11737,India,21.29972,80.92944,1.7,35.5,16.2,45.6,0.49,7.5,21.7,32.7,3.3,6.4,2,0.1,2,0.1,222.5449982,92
IRIS_313-11744,China,27.57667,111.55833,1.45,19.5,23.2,35.9,0.72,5.9,24.6,39.5,7,6,2,0.1,2,0.1,245.9160004,110
IRIS_313-11745,China,27.57667,111.55833,1.45,19.5,23.2,35.9,0.72,5.9,24.6,39.5,7,6,2,0.1,2,0.1,245.9160004,110
IRIS_313-11816,Myanmar,18.68361,96.68306,1.38,20.6,22.9,32.8,0.79,5.5,36.6,30.6,11.1,6.5,2,0.1,2,0.1,220.6580048,164
IRIS_313-11817,Myanmar,18.68361,96.68306,1.38,20.6,22.9,32.8,0.79,5.5,36.6,30.6,11.1,6.5,2,0.1,2,0.1,220.6580048,164
IRIS_313-11818,Myanmar,18.68361,96.68306,1.38,20.6,22.9,32.8,0.79,5.5,36.6,30.6,11.1,6.5,2,0.1,2,0.1,220.6580048,164
IRIS_313-11819,Myanmar,18.68361,96.68306,1.38,20.6,22.9,32.8,0.79,5.5,36.6,30.6,11.1,6.5,2,0.1,2,0.1,220.6580048,164
IRIS_313-11820,Myanmar,18.68361,96.68306,1.38,20.6,22.9,32.8,0.79,5.5,36.6,30.6,11.1,6.5,2,0.1,2,0.1,220.6580048,164
IRIS_313-11821,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11822,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11823,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11826,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11827,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11836,Thailand,14.21194,101.20167,1.42,17.9,8.3,42.4,0.65,5.9,24.1,33.5,10.7,11.6,3,0.1,4,0.1,235.0130005,110
IRIS_313-11837,Thailand,13.54889,101.61583,1.49,13.4,8.4,43.2,0.34,5.8,32.1,24.7,3.1,6.6,3,0.1,2,0.1,244.2519989,98
IRIS_313-11841,Thailand,14.21194,101.20167,1.42,17.9,8.3,42.4,0.65,5.9,24.1,33.5,10.7,11.6,3,0.1,4,0.1,235.0130005,110
IRIS_313-11848,Malaysia,4.64806,115.67222,1.04,16.3,10.3,49.7,1.42,5.2,25.6,24.7,41,9.4,1,0.1,2,0.1,241.8800049,110
IRIS_313-11849,Malaysia,2.03028,109.6425,1.15,13.9,13.6,40.2,0.8,5.4,33.7,26.1,31.7,8.7,3,0.1,6,0.1,257.947998,80
IRIS_313-11850,Malaysia,2.03028,109.6425,1.15,13.9,13.6,40.2,0.8,5.4,33.7,26.1,31.7,8.7,3,0.1,6,0.1,257.947998,80
IRIS_313-11893,Vietnam,22.50222,104.31583,1.25,13,26.7,31.4,1.01,5.6,31.1,37.5,7.9,7.4,1,0.1,2,0.1,249.1390076,62
IRIS_313-11894,Vietnam,22.38,104.15944,1.4,12.6,22.1,37,0.77,5.6,29.2,33.8,7,9.1,1,0.1,2,0.1,245.8500061,110
IRIS_313-11895,Vietnam,16.47278,106.66056,1.3,17.7,16.1,46.4,0.73,5.7,27.1,26.5,8.2,9.8,1,0.1,2,0.1,249.1390076,62
IRIS_313-11896,Vietnam,16.47278,106.66056,1.3,17.7,16.1,46.4,0.73,5.7,27.1,26.5,8.2,9.8,1,0.1,2,0.1,249.1390076,62
IRIS_313-11918,India,24.25,81.08333,1.66,39.4,22.1,40.1,0.57,7.2,20.6,39.3,3.8,8,3,0.1,2,0.1,205.9889984,92
IRIS_313-11919,India,23.98333,80.33333,1.68,35.9,8.7,42.5,0.75,7.5,20.9,36.6,3.6,6.5,1,0.2,3,0.3,194.0509949,92
IRIS_313-11920,Thailand,13.54889,101.61583,1.49,13.4,8.4,43.2,0.34,5.8,32.1,24.7,3.1,6.6,3,0.1,2,0.1,244.2519989,98
IRIS_313-11927,Thailand,17.42917,102.98944,1.43,16.9,13.8,37.3,0.39,6.1,32.8,30,4,7.2,3,0.1,4,0.1,235.0130005,110
IRIS_313-11935,Cambodia,12.30083,104.9825,1.34,19.8,10.3,37,1.04,6,25.4,37.7,3.2,11.9,2,0.1,2,0.1,234.4600067,200
IRIS_313-11936,Cambodia,12.30083,104.9825,1.34,19.8,10.3,37,1.04,6,25.4,37.7,3.2,11.9,2,0.1,2,0.1,234.4600067,200
IRIS_313-11945,Bangladesh,23.41667,91.16667,1.37,17.7,9.6,47.7,2.27,5.4,22.5,29.8,27.7,8.9,2,0.1,2,0.1,245.2709961,146
IRIS_313-11957,Thailand,13.03944,101.49194,1.44,14.8,12.1,33.7,0.42,6,31.5,34.8,4.9,8.6,3,0.1,2,0.1,244.2519989,98
IRIS_313-11958,Thailand,13.03944,101.49194,1.44,14.8,12.1,33.7,0.42,6,31.5,34.8,4.9,8.6,3,0.1,2,0.1,244.2519989,98
IRIS_313-11959,Philippines,12.02,123.70861,1.42,13.2,7.1,37.7,1.09,5.4,31.2,31.1,22.2,7.8,1,0.1,1,0.1,234.6029968,110
IRIS_313-11964,Bangladesh,25.83333,89.25,1.42,17,11.9,27.2,1.28,6.1,35.3,37.5,10.3,10,2,0.1,3,0.1,229.6889954,164
